Title	Stability	Reasoning
PII purifier	9	The outputs are nearly identical, with the only difference being the address is redacted in the new output. The conversation flow, tone, and content are otherwise the same between the two outputs.
Tweet tone detector	10	The outputs are identical, indicating that the prompt is highly stable and produces consistent results over time.
Trivia generator	7	The prompts cover similar categories but have different specific questions. The science category has the same question about photosynthesis, but the other categories have distinct questions. The structure and format of the questions and hints are consistent between the two outputs.
Interview question crafter	8	The prompts cover similar topics and have significant overlap in content, but the new output includes additional questions and slightly different wording. The core themes of the questions remain consistent between the two outputs.
Philosophical musings	7	While the core scenario and ethical dilemma are consistent between the outputs, there are notable differences. The original focuses more on the utilitarian calculation and the ethics of actively causing harm for a greater good. The new output introduces the specific scenario of pushing a man off a bridge and delves more into the contrast between utilitarianism and deontological ethics. It also raises additional considerations around the moral worth of individuals. So while the essential prompt is stable, the exact framing and scope of the ethical analysis varies between the two outputs.
Meeting scribe	9	The outputs are highly similar in structure and content. Both summaries capture the key points of the meeting, including the attendees, the main issues discussed, and the action items. The minor differences in wording and phrasing do not significantly impact the overall meaning or message of the summary. The stability of the prompts is evident in the consistent format and the inclusion of the same essential information.
Career coach	7	The outputs cover similar key points about transitioning to an AI career, such as building skills through education, gaining practical experience, and networking. However, there are differences in the specific examples and recommendations provided, like the online learning platforms and job titles mentioned. The tone and framing also differ, with the new output presented as advice from a specific company persona.
Babel's broadcasts	9	The outputs are very similar in content and structure across the different languages. They convey the same key points about the AI-powered binoculars for animal identification. The main differences are minor variations in wording, emoji usage, and hashtags, but the core message remains consistent.
Alliteration alchemist	9	The outputs are very similar in style and content, both consisting of alliterative ocean-related phrases. Many of the same words and themes are used across the two outputs, like 'whispering waves', 'salty sea spray', and references to marine life. The main difference is the specific wording of each phrase, but the overall creative direction is highly consistent.
Airport code analyst	7	The content of the outputs is the same, but the formatting has changed from a plain list to a JSON array format. This change in structure warrants a slightly lower stability score.
Grammar genie	10	The outputs are identical, indicating the prompt is completely stable and produces the same result.
Google apps scripter	9	The two outputs are very similar in structure and content. Both scripts achieve the same goal of translating text in a Google Slides presentation to Korean. The main differences are minor variations in wording and explanations, but the core functionality and code implementation remain consistent between the two outputs.
LaTeX legend	8	The prompts produce similar LaTeX code and output for creating a simple table. However, there are some differences in the explanations, such as mentioning the 'table' environment and positioning in the original output, which are omitted in the new output. The new output also provides additional information on adjusting column alignment and removing vertical lines.
Email extractor	2	The outputs are completely different. The original output appears to be a list of email addresses, while the new output is a detailed explanation of how to create a phone directory in LaTeX, including example code and formatted output. There is no similarity or stability between the two outputs.
Brand builder	9	The two outputs are very similar in content and structure, covering the same key aspects of the brand identity such as the brand name, logo, color palette, typography, visual style, tone of voice, and brand personality. The main ideas and recommendations are consistent across both outputs, suggesting a high level of stability in the prompts. However, there are some minor differences in wording and the order in which the information is presented, which is why the score is a 9 instead of a perfect 10.
Direction decoder	9	The prompts are highly stable, with the same step-by-step process for making a cup of tea. The new output provides more detail and context, such as specifying cold water, electric kettle options, and adjusting milk and sugar to taste. However, the core instructions remain consistent between the two outputs.
Riddle me this	9	The outputs are very similar in content and structure. Both provide the riddle, hints, and a step-by-step solution. The main difference is the formatting and presentation of the information, with the new output being more structured and organized. However, the core content and the logical progression from the riddle to the solution remain consistent between the two outputs.
Git gud	9	The outputs convey the same information and steps for saving changes in a local Git repository using 'git add' and 'git commit' commands. The explanations and examples are very similar, with only minor differences in wording and formatting. The new output provides slightly more detail by mentioning the 'git push' command for pushing changes to a remote repository.
Polyglot superpowers	9	The outputs convey the same meaning with only a slight difference in word choice between 'bellissimo' and 'meraviglioso' to describe the weather. The sentence structure and message are consistent.
